127.0.0.1, 2016-02-08 21:49:47, GET, /MoodlePlus/static/images/facebook.png, HTTP/1.1, 304, 0.001028
127.0.0.1, 2016-02-08 21:50:42, GET, /courses/list.json, HTTP/1.1, 200, 0.021577
127.0.0.1, 2016-02-08 21:50:42, GET, /favicon.ico, HTTP/1.1, 404, 0.000623
127.0.0.1, 2016-02-08 21:50:42, GET, /favicon.ico, HTTP/1.1, 404, 0.000310
127.0.0.1, 2016-02-08 21:53:01, GET, /, HTTP/1.1, 200, 0.082250
127.0.0.1, 2016-02-08 21:53:01, GET, /MoodlePlus/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000551
127.0.0.1, 2016-02-08 21:53:01, GET, /MoodlePlus/static/css/layout.css, HTTP/1.1, 304, 0.001035
127.0.0.1, 2016-02-08 21:53:01, GET, /MoodlePlus/static/css/bootstrap-theme.min.css, HTTP/1.1, 304, 0.000435
127.0.0.1, 2016-02-08 21:53:01, GET, /MoodlePlus/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.002279
127.0.0.1, 2016-02-08 21:53:01, GET, /MoodlePlus/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.000458
127.0.0.1, 2016-02-08 21:53:01, GET, /MoodlePlus/static/js/calendar.js, HTTP/1.1, 304, 0.002329
127.0.0.1, 2016-02-08 21:53:01, GET, /MoodlePlus/static/js/jquery.js, HTTP/1.1, 304, 0.003613
127.0.0.1, 2016-02-08 21:53:01, GET, /MoodlePlus/static/js/web2py.js, HTTP/1.1, 304, 0.003777
127.0.0.1, 2016-02-08 21:53:01, GET, /MoodlePlus/static/css/calendar.css, HTTP/1.1, 304, 0.000939
127.0.0.1, 2016-02-08 21:53:01, GET, /MoodlePlus/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.001212
127.0.0.1, 2016-02-08 21:53:01, GET, /MoodlePlus/static/js/share.js, HTTP/1.1, 304, 0.000333
127.0.0.1, 2016-02-08 21:53:01, GET, /MoodlePlus/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.001761
127.0.0.1, 2016-02-08 21:53:01, GET, /MoodlePlus/static/images/twitter.png, HTTP/1.1, 304, 0.001140
127.0.0.1, 2016-02-08 21:53:01, GET, /MoodlePlus/static/images/facebook.png, HTTP/1.1, 304, 0.000779
127.0.0.1, 2016-02-08 21:53:01, GET, /MoodlePlus/static/images/gplus-32.png, HTTP/1.1, 304, 0.000543
127.0.0.1, 2016-02-08 21:53:08, GET, /user/register, HTTP/1.1, 200, 0.032037
127.0.0.1, 2016-02-08 21:53:43, POST, /user/register, HTTP/1.1, 303, 0.249360
127.0.0.1, 2016-02-08 21:53:43, GET, /, HTTP/1.1, 200, 0.026684
127.0.0.1, 2016-02-08 21:53:43, GET, /MoodlePlus/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000852
127.0.0.1, 2016-02-08 21:53:43, GET, /MoodlePlus/static/css/bootstrap-theme.min.css, HTTP/1.1, 304, 0.000384
127.0.0.1, 2016-02-08 21:53:43, GET, /MoodlePlus/static/css/layout.css, HTTP/1.1, 304, 0.003087
127.0.0.1, 2016-02-08 21:53:43, GET, /MoodlePlus/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.001267
127.0.0.1, 2016-02-08 21:53:43, GET, /MoodlePlus/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.000563
127.0.0.1, 2016-02-08 21:53:43, GET, /MoodlePlus/static/js/jquery.js, HTTP/1.1, 304, 0.001110
127.0.0.1, 2016-02-08 21:53:43, GET, /MoodlePlus/static/css/calendar.css, HTTP/1.1, 304, 0.002410
127.0.0.1, 2016-02-08 21:53:43, GET, /MoodlePlus/static/js/web2py.js, HTTP/1.1, 304, 0.000907
127.0.0.1, 2016-02-08 21:53:43, GET, /MoodlePlus/static/js/share.js, HTTP/1.1, 304, 0.001410
127.0.0.1, 2016-02-08 21:53:43, GET, /MoodlePlus/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000865
127.0.0.1, 2016-02-08 21:53:43, GET, /MoodlePlus/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.002508
127.0.0.1, 2016-02-08 21:53:43, GET, /MoodlePlus/static/js/calendar.js, HTTP/1.1, 304, 0.002064
127.0.0.1, 2016-02-08 21:53:43, GET, /MoodlePlus/static/images/background.jpg, HTTP/1.1, 200, 0.000446
127.0.0.1, 2016-02-08 21:53:43, GET, /MoodlePlus/static/images/twitter.png, HTTP/1.1, 304, 0.001600
127.0.0.1, 2016-02-08 21:53:43, GET, /MoodlePlus/static/images/facebook.png, HTTP/1.1, 304, 0.001229
127.0.0.1, 2016-02-08 21:53:43, GET, /MoodlePlus/static/images/gplus-32.png, HTTP/1.1, 304, 0.001126
127.0.0.1, 2016-02-08 21:53:52, GET, /default/grades, HTTP/1.1, 200, 0.027834
127.0.0.1, 2016-02-08 21:53:54, GET, /default/notifications, HTTP/1.1, 200, 0.045431
127.0.0.1, 2016-02-08 21:53:54, GET, /default/index, HTTP/1.1, 200, 0.027938
127.0.0.1, 2016-02-08 21:53:56, GET, /, HTTP/1.1, 200, 0.035277
127.0.0.1, 2016-02-08 21:53:56, GET, /courses, HTTP/1.1, 200, 0.026918
127.0.0.1, 2016-02-08 21:54:01, GET, /MoodlePlus/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.001152
127.0.0.1, 2016-02-08 21:54:03, GET, /user/profile, HTTP/1.1, 200, 0.033930
127.0.0.1, 2016-02-08 21:54:07, GET, /user/logout, HTTP/1.1, 303, 0.204931
127.0.0.1, 2016-02-08 21:54:07, GET, /, HTTP/1.1, 200, 0.026189
127.0.0.1, 2016-02-17 00:22:30, GET, /, HTTP/1.1, 200, 2.972000
127.0.0.1, 2016-02-17 00:22:30, GET, /MoodlePlus/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.008000
127.0.0.1, 2016-02-17 00:22:30, GET, /MoodlePlus/static/css/bootstrap-theme.min.css, HTTP/1.1, 200, 0.009000
127.0.0.1, 2016-02-17 00:22:30, GET, /MoodlePlus/static/css/layout.css, HTTP/1.1, 200, 0.006000
127.0.0.1, 2016-02-17 00:22:30, GET, /MoodlePlus/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.020000
127.0.0.1, 2016-02-17 00:22:30, GET, /MoodlePlus/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.030000
127.0.0.1, 2016-02-17 00:22:30, GET, /MoodlePlus/static/css/calendar.css, HTTP/1.1, 200, 0.007000
127.0.0.1, 2016-02-17 00:22:30, GET, /MoodlePlus/static/js/web2py.js, HTTP/1.1, 200, 0.015000
127.0.0.1, 2016-02-17 00:22:30, GET, /MoodlePlus/static/js/share.js, HTTP/1.1, 200, 0.005000
127.0.0.1, 2016-02-17 00:22:30, GET, /MoodlePlus/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.061000
127.0.0.1, 2016-02-17 00:22:30, GET, /MoodlePlus/static/js/calendar.js, HTTP/1.1, 200, 0.068000
127.0.0.1, 2016-02-17 00:22:30, GET, /MoodlePlus/static/js/jquery.js, HTTP/1.1, 200, 0.130000
127.0.0.1, 2016-02-17 00:22:30, GET, /MoodlePlus/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.142000
127.0.0.1, 2016-02-17 00:22:30, GET, /MoodlePlus/static/images/twitter.png, HTTP/1.1, 200, 0.003000
127.0.0.1, 2016-02-17 00:22:30, GET, /MoodlePlus/static/images/facebook.png, HTTP/1.1, 200, 0.003000
127.0.0.1, 2016-02-17 00:22:30, GET, /MoodlePlus/static/images/gplus-32.png, HTTP/1.1, 200, 0.003000
127.0.0.1, 2016-02-17 00:22:30, GET, /MoodlePlus/static/images/favicon.ico, HTTP/1.1, 200, 0.003000
127.0.0.1, 2016-02-17 00:23:13, GET, /, HTTP/1.1, 200, 1.538000
127.0.0.1, 2016-02-17 00:23:30, GET, /user/login, HTTP/1.1, 200, 0.124000
127.0.0.1, 2016-02-17 00:23:48, POST, /user/login, HTTP/1.1, 303, 0.162000
127.0.0.1, 2016-02-17 00:23:48, GET, /user/login, HTTP/1.1, 200, 0.056000
127.0.0.1, 2016-02-17 00:24:41, POST, /user/login, HTTP/1.1, 303, 0.065000
127.0.0.1, 2016-02-17 00:24:41, GET, /user/login, HTTP/1.1, 200, 0.131000
127.0.0.1, 2016-02-17 00:27:21, GET, /, HTTP/1.1, 200, 1.125000
127.0.0.1, 2016-02-17 00:27:23, GET, /user/login, HTTP/1.1, 200, 0.072000
127.0.0.1, 2016-02-17 00:27:29, POST, /user/login, HTTP/1.1, 303, 0.078000
127.0.0.1, 2016-02-17 00:27:29, GET, /user/login, HTTP/1.1, 200, 0.068000
127.0.0.1, 2016-02-17 00:41:54, GET, /, HTTP/1.1, 200, 1.027000
127.0.0.1, 2016-02-17 00:42:13, GET, /populate_db, HTTP/1.1, 500, 0.328000
127.0.0.1, 2016-02-17 00:42:13, GET, /favicon.ico, HTTP/1.1, 404, 0.000000
127.0.0.1, 2016-02-17 00:42:52, GET, /admin/default/ticket/MoodlePlus/127.0.0.1.2016-02-17.00-42-13.838414a6-2e29-4057-9afd-1302ac82eddd, HTTP/1.1, 303, 0.385000
127.0.0.1, 2016-02-17 00:42:53, GET, /admin, HTTP/1.1, 200, 0.127000
127.0.0.1, 2016-02-17 00:42:53, GET, /admin/static/_2.10.3/css/calendar.css, HTTP/1.1, 200, 0.033000
127.0.0.1, 2016-02-17 00:42:53, GET, /admin/static/_2.10.3/css/bootstrap.min.css, HTTP/1.1, 200, 0.046000
127.0.0.1, 2016-02-17 00:42:53, GET, /admin/static/_2.10.3/js/calendar.js, HTTP/1.1, 200, 0.048000
127.0.0.1, 2016-02-17 00:42:53, GET, /admin/static/_2.10.3/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.048000
127.0.0.1, 2016-02-17 00:42:53, GET, /admin/static/_2.10.3/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.011000
